Team,HRY,SK,YPP,FGP,TMT,DYPP,POFC
Arizona Cardinals,68,49,4.3,71,-4,5.4,0
Atlanta Falcons,70,37,6.2,72,29,6,1
Baltimore Ravens,94,43,5.3,90,17,4.8,1
Buffalo Bills,76,36,4.7,79,-4,4.9,0
Carolina Panthers,68,35,5.9,91,23,6,0
Chicago Bears,93,50,5.4,77,20,4.8,1
Cincinnati Bengals,75,34,5.3,83,23,6.1,0
Cleveland Browns,88,37,5.8,76,20,5.6,0
Dallas Cowboys,77,39,5.4,81,18,5.4,1
Denver Broncos,53,44,5.5,80,16,5.7,0
Detroit Lions,54,43,5.1,88,14,5.7,0
Green Bay Packers,78,44,5.8,81,24,5.6,0
Houston Texans,93,43,5.6,88,22,5.4,1
Indianapolis Colts,60,38,5.8,85,28,5.5,1
Jacksonville Jaguars,73,37,4.8,89,-7,5.1,0
Kansas City Chiefs,92,52,6.8,89,48,5.9,1
Los Angeles Chargers,61,38,6.3,83,29,5.4,1
Los Angeles Rams,93,41,6.4,83,36,6,1
Miami Dolphins,79,31,5.3,90,10,6.1,0
Minnesota Vikings,80,50,5.5,69,19,5,1
New England Patriots,71,30,5.9,84,29,5.7,1
New Orleans Saints,84,49,6,93,43,5.7,1
New York Giants,72,30,5.8,97,17,5.7,0
New York Jets,62,39,4.9,92,-1,5.7,0
Oakland Raiders,54,13,5.4,84,4,6.3,0
Philadelphia Eagles,75,44,5.6,84,18,5.8,1
Pittsburgh Steelers,71,52,6.1,70,25,5.3,1
San Francisco 49ers,95,37,5.8,97,1,5.4,0
Seattle Seahawks,73,43,5.6,82,39,5.9,1
Tampa Bay Buccaneers,39,38,6.3,74,12,6.1,0
Tennessee Titans,77,39,5.3,87,13,5.3,1
Washington Redskins,69,46,5,90,9,5.7,0
